ID,Customer_Age,Gender,Education_Level,Marital_Status,Card_Category,Months_on_book,Credit_Limit,Attrition_Flag
1,45,M,High School,Married,Blue,39,12691,Existing Customer
2,49,F,Graduate,Single,Blue,44,8256,Existing Customer
3,51,M,Graduate,Married,Blue,36,3418,Existing Customer
4,40,F,High School,Unknown,Blue,34,3313,Existing Customer
5,40,M,Uneducated,Married,Blue,21,4716,Existing Customer
6,44,M,Graduate,Married,Blue,36,4010,Existing Customer
7,51,M,Unknown,Married,Gold,46,34516,Existing Customer
8,32,M,High School,Unknown,Silver,27,29081,Existing Customer
9,37,M,Uneducated,Single,Blue,36,22352,Existing Customer
10,48,M,Graduate,Single,Blue,36,11656,Existing Customer
11,42,M,Uneducated,Unknown,Blue,31,6748,Existing Customer
12,65,M,Unknown,Married,Blue,54,9095,Existing Customer
13,56,M,College,Single,Blue,36,11751,Existing Customer
14,35,M,Graduate,Unknown,Blue,30,8547,Existing Customer
15,57,F,Graduate,Married,Blue,48,2436,Existing Customer
16,44,M,Unknown,Unknown,Blue,37,4234,Existing Customer
17,48,M,Post-Graduate,Single,Blue,36,30367,Existing Customer
18,41,M,Unknown,Married,Blue,34,13535,Existing Customer
19,61,M,High School,Married,Blue,56,3193,Existing Customer
20,45,F,Graduate,Married,Blue,37,14470,Existing Customer
21,47,M,Doctorate,Divorced,Blue,42,20979,Existing Customer
22,62,F,Graduate,Married,Blue,49,1438.3,Attrited Customer
23,41,M,High School,Married,Blue,33,4470,Existing Customer
24,47,F,Unknown,Single,Blue,36,2492,Existing Customer
25,54,M,Unknown,Married,Blue,42,12217,Existing Customer
26,41,F,Graduate,Single,Blue,28,7768,Existing Customer
27,59,M,High School,Unknown,Blue,46,14784,Existing Customer
28,63,M,Unknown,Married,Blue,56,10215,Existing Customer
29,44,F,Uneducated,Single,Blue,34,10100,Existing Customer
30,47,M,High School,Married,Blue,42,4785,Existing Customer
31,53,M,Unknown,Married,Blue,33,2753,Existing Customer
32,53,M,Uneducated,Married,Blue,48,2451,Existing Customer
33,41,M,Graduate,Married,Blue,36,8923,Existing Customer
34,53,F,College,Married,Blue,38,2650,Existing Customer
35,58,M,Graduate,Married,Blue,49,12555,Existing Customer
36,55,F,College,Single,Blue,36,3520,Existing Customer
37,55,F,Graduate,Married,Blue,36,3035,Existing Customer
38,42,F,High School,Married,Gold,36,15433,Existing Customer
39,57,F,Graduate,Unknown,Blue,49,3672,Existing Customer
40,66,F,Doctorate,Married,Blue,56,7882,Attrited Customer
41,45,M,Graduate,Single,Blue,41,32426,Existing Customer
